InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Swan,21 x 21,21,21,10,4,gridGenerator total,0.633516125,ok,
Swan,21 x 21,21,21,10,5,Input grid_fun call,0.0011845,ok,
Swan,21 x 21,21,21,10,5,Transfinite interpolation only,0.000951583333333333,ok,
Swan,21 x 21,21,21,10,5,Transfinite total,0.00213608333333333,ok,
Swan,21 x 21,21,21,10,5,gridGenerator total,0.891939625,ok,
Swan,41 x 41,41,41,10,1,Input grid_fun call,0.00322258333333333,ok,
Swan,41 x 41,41,41,10,1,Transfinite interpolation only,0.00124895833333333,ok,
Swan,41 x 41,41,41,10,1,Transfinite total,0.00447154166666667,ok,
Swan,41 x 41,41,41,10,1,gridGenerator total,1.16695175,ok,
Swan,41 x 41,41,41,10,2,Input grid_fun call,0.00658079166666667,ok,
Swan,41 x 41,41,41,10,2,Transfinite interpolation only,0.00265141666666667,ok,
Swan,41 x 41,41,41,10,2,Transfinite total,0.00923220833333333,ok,
Swan,41 x 41,41,41,10,2,gridGenerator total,1.6567445,ok,
Swan,41 x 41,41,41,10,3,Input grid_fun call,0.013413875,ok,
Swan,41 x 41,41,41,10,3,Transfinite interpolation only,0.00804379166666667,ok,
Swan,41 x 41,41,41,10,3,Transfinite total,0.0214576666666667,ok,
Swan,41 x 41,41,41,10,3,gridGenerator total,1.50979245833333,ok,
Swan,41 x 41,41,41,10,4,Input grid_fun call,0.005964625,ok,
Swan,41 x 41,41,41,10,4,Transfinite interpolation only,0.0217105,ok,
Swan,41 x 41,41,41,10,4,Transfinite total,0.027675125,ok,
Swan,41 x 41,41,41,10,4,gridGenerator total,1.28160225,ok,
Swan,41 x 41,41,41,10,5,Input grid_fun call,0.00819270833333333,ok,
Swan,41 x 41,41,41,10,5,Transfinite interpolation only,0.0254663333333333,ok,
Swan,41 x 41,41,41,10,5,Transfinite total,0.0336590416666667,ok,
Swan,41 x 41,41,41,10,5,gridGenerator total,1.277610875,ok,
Swan,81 x 81,81,81,10,1,Input grid_fun call,0.0154510416666667,ok,
Swan,81 x 81,81,81,10,1,Transfinite interpolation only,0.007811,ok,
Swan,81 x 81,81,81,10,1,Transfinite total,0.0232620416666667,ok,
Swan,81 x 81,81,81,10,1,gridGenerator total,1.466763125,ok,
Swan,81 x 81,81,81,10,2,Input grid_fun call,0.00530033333333333,ok,
